ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,,taxonomy
4330849,Bacteria,P:SR1,P:SR1,P:SR1,P:SR1,P:SR1,P:SR1,,Bacteria; P:SR1; P:SR1; P:SR1; P:SR1; P:SR1; P:SR1
4400869,Bacteria,P:SR1,P:SR1,P:SR1,P:SR1,P:SR1,P:SR1,,Bacteria; P:SR1; P:SR1; P:SR1; P:SR1; P:SR1; P:SR1
4457086,Bacteria,P:GN02,C:BD1-5,C:BD1-5,C:BD1-5,C:BD1-5,C:BD1-5,,Bacteria; P:GN02; C:BD1-5; C:BD1-5; C:BD1-5; C:BD1-5; C:BD1-5
4457085,Bacteria,P:GN02,C:BD1-5,C:BD1-5,C:BD1-5,C:BD1-5,C:BD1-5,,Bacteria; P:GN02; C:BD1-5; C:BD1-5; C:BD1-5; C:BD1-5; C:BD1-5
655496,Bacteria,P:GN02,C:BD1-5,C:BD1-5,C:BD1-5,C:BD1-5,C:BD1-5,,Bacteria; P:GN02; C:BD1-5; C:BD1-5; C:BD1-5; C:BD1-5; C:BD1-5
4440970,Bacteria,P:TM7,C:TM7-3,O:CW040,F:F16,F:F16,F:F16,,Bacteria; P:TM7; C:TM7-3; O:CW040; F:F16; F:F16; F:F16
3103396,Bacteria,P:TM7,C:TM7-3,O:CW040,O:CW040,O:CW040,O:CW040,,Bacteria; P:TM7; C:TM7-3; O:CW040; O:CW040; O:CW040; O:CW040
4365684,Bacteria,P:TM7,C:TM7-3,O:CW040,O:CW040,O:CW040,O:CW040,,Bacteria; P:TM7; C:TM7-3; O:CW040; O:CW040; O:CW040; O:CW040
4444038,Bacteria,P:TM7,C:TM7-3,C:TM7-3,C:TM7-3,C:TM7-3,C:TM7-3,,Bacteria; P:TM7; C:TM7-3; C:TM7-3; C:TM7-3; C:TM7-3; C:TM7-3
4458736,Bacteria,P:TM7,C:TM7-3,C:TM7-3,C:TM7-3,C:TM7-3,C:TM7-3,,Bacteria; P:TM7; C:TM7-3; C:TM7-3; C:TM7-3; C:TM7-3; C:TM7-3
4393962,Bacteria,P:TM7,C:TM7-3,C:TM7-3,C:TM7-3,C:TM7-3,C:TM7-3,,Bacteria; P:TM7; C:TM7-3; C:TM7-3; C:TM7-3; C:TM7-3; C:TM7-3
165179,Bacteria,P:TM7,C:TM7-3,O:I025,F:Rs-045,F:Rs-045,F:Rs-045,,Bacteria; P:TM7; C:TM7-3; O:I025; F:Rs-045; F:Rs-045; F:Rs-045
1887414,Bacteria,P:TM7,C:TM7-3,O:I025,F:Rs-045,F:Rs-045,F:Rs-045,,Bacteria; P:TM7; C:TM7-3; O:I025; F:Rs-045; F:Rs-045; F:Rs-045
715138,Bacteria,P:TM7,P:TM7,P:TM7,P:TM7,P:TM7,P:TM7,,Bacteria; P:TM7; P:TM7; P:TM7; P:TM7; P:TM7; P:TM7
4352242,Bacteria,P:Cyanobacteria,C:4C0d-2,O:YS2,O:YS2,O:YS2,O:YS2,,Bacteria; P:Cyanobacteria; C:4C0d-2; O:YS2; O:YS2; O:YS2; O:YS2
4303423,Bacteria,P:Cyanobacteria,C:4C0d-2,O:YS2,O:YS2,O:YS2,O:YS2,,Bacteria; P:Cyanobacteria; C:4C0d-2; O:YS2; O:YS2; O:YS2; O:YS2
269386,Bacteria,P:Cyanobacteria,C:4C0d-2,O:YS2,O:YS2,O:YS2,O:YS2,,Bacteria; P:Cyanobacteria; C:4C0d-2; O:YS2; O:YS2; O:YS2; O:YS2
4359258,Bacteria,P:Cyanobacteria,C:4C0d-2,O:YS2,O:YS2,O:YS2,O:YS2,,Bacteria; P:Cyanobacteria; C:4C0d-2; O:YS2; O:YS2; O:YS2; O:YS2
918242,Bacteria,P:Cyanobacteria,C:4C0d-2,O:YS2,O:YS2,O:YS2,O:YS2,,Bacteria; P:Cyanobacteria; C:4C0d-2; O:YS2; O:YS2; O:YS2; O:YS2
320915,Bacteria,P:Cyanobacteria,C:4C0d-2,O:YS2,O:YS2,O:YS2,O:YS2,,Bacteria; P:Cyanobacteria; C:4C0d-2; O:YS2; O:YS2; O:YS2; O:YS2
98258,Bacteria,P:Cyanobacteria,C:4C0d-2,O:MLE1-12,O:MLE1-12,O:MLE1-12,O:MLE1-12,,Bacteria; P:Cyanobacteria; C:4C0d-2; O:MLE1-12; O:MLE1-12; O:MLE1-12; O:MLE1-12
735769,Bacteria,P:Cyanobacteria,C:Chloroplast,O:Streptophyta,O:Streptophyta,O:Streptophyta,O:Streptophyta,,Bacteria; P:Cyanobacteria; C:Chloroplast; O:Streptophyta; O:Streptophyta; O:Streptophyta; O:Streptophyta
4431803,Bacteria,P:Cyanobacteria,C:Chloroplast,O:Streptophyta,O:Streptophyta,O:Streptophyta,O:Streptophyta,,Bacteria; P:Cyanobacteria; C:Chloroplast; O:Streptophyta; O:Streptophyta; O:Streptophyta; O:Streptophyta
4420570,Bacteria,P:Cyanobacteria,C:Chloroplast,O:Streptophyta,O:Streptophyta,O:Streptophyta,O:Streptophyta,,Bacteria; P:Cyanobacteria; C:Chloroplast; O:Streptophyta; O:Streptophyta; O:Streptophyta; O:Streptophyta
4386317,Bacteria,P:Cyanobacteria,C:Chloroplast,O:Streptophyta,O:Streptophyta,O:Streptophyta,O:Streptophyta,,Bacteria; P:Cyanobacteria; C:Chloroplast; O:Streptophyta; O:Streptophyta; O:Streptophyta; O:Streptophyta
505954,Bacteria,P:Cyanobacteria,C:Oscillatoriophycideae,O:Chroococcales,F:Xenococcaceae,F:Xenococcaceae,F:Xenococcaceae,,Bacteria; P:Cyanobacteria; C:Oscillatoriophycideae; O:Chroococcales; F:Xenococcaceae; F:Xenococcaceae; F:Xenococcaceae
4442127,Bacteria,P:Proteobacteria,C:Epsilonproteobacteria,O:Campylobacterales,F:Campylobacteraceae,Campylobacter,Campylobacter,,Bacteria; P:Proteobacteria; C:Epsilonproteobacteria; O:Campylobacterales; F:Campylobacteraceae; Campylobacter; Campylobacter
